@relation 'base6-191018-weka-weka.filters.unsupervised.attribute.Remove-R1-6,8,14-20'

@attribute nedge numeric
@attribute fval numeric
@attribute walklen numeric
@attribute hillclimb numeric
@attribute balswap numeric
@attribute improve1 numeric
@attribute drBool {FALSE,TRUE}

@data
760,37.843796,1,1,0,0,FALSE
742,11.758536,1,1,0,0,FALSE
768,35.487309,1,1,0,0,FALSE
792,36.610783,1,1,0,0,FALSE
748,33.97826,1,1,1,1,TRUE
775,13.770294,1,1,1,1,FALSE
768,35.589035,1,1,1,1,FALSE
776,14.110851,1,1,1,1,TRUE
810,36.341084,1,1,1,1,FALSE
780,13.719368,1,1,1,1,FALSE
820,13.941727,1,1,1,1,FALSE
770,13.173432,1,1,1,1,FALSE
746,35.247936,1,1,1,1,TRUE
750,12.467127,1,1,1,1,FALSE
779,35.092747,1,1,1,1,TRUE
766,13.283089,1,1,1,1,TRUE
776,37.923222,1,1,1,1,FALSE
772,13.299934,1,1,1,1,FALSE
768,13.861027,1,1,1,1,FALSE
764,34.892273,1,1,1,1,FALSE
752,35.635937,1,1,1,1,FALSE
760,35.637131,1,1,1,1,FALSE
793,14.747818,1,1,1,1,FALSE
784,10.443241,1,1,1,1,FALSE
824,38.100899,2,1,1,1,FALSE
803,36.339886,2,1,1,1,TRUE
775,8.652609,2,1,1,1,TRUE
797,37.091156,2,1,1,1,TRUE
793,38.931313,2,1,1,1,FALSE
770,35.809299,2,1,1,1,TRUE
796,37.292103,2,1,1,1,TRUE
803,14.166946,2,1,1,1,TRUE
785,35.132504,2,1,1,1,FALSE
766,36.120667,2,1,1,1,FALSE
804,37.570236,2,1,1,1,FALSE
764,36.393681,2,1,1,1,TRUE
784,37.277016,2,1,1,1,TRUE
782,37.183235,2,1,1,1,TRUE
809,37.450218,2,1,1,1,TRUE
762,12.946863,2,1,1,1,FALSE
766,34.77549,2,1,1,1,TRUE
825,37.344086,2,1,1,1,TRUE
806,14.600544,2,1,1,1,TRUE
789,13.703485,2,1,1,1,TRUE
794,35.464764,4,1,0,0,FALSE
763,35.693382,4,1,0,0,FALSE
784,36.671253,4,1,0,0,TRUE
803,14.144487,4,1,0,0,FALSE
805,36.692089,4,1,0,0,FALSE
835,16.600735,4,1,0,0,FALSE
826,14.52515,4,1,0,0,FALSE
814,37.345181,4,1,0,0,FALSE
809,37.542358,4,1,0,0,FALSE
798,14.487839,4,1,0,0,FALSE
801,38.077995,4,1,0,0,FALSE
815,14.018816,4,1,0,0,FALSE
840,14.111099,4,1,0,0,FALSE
804,14.655104,4,1,0,0,FALSE
808,13.884317,4,1,0,0,FALSE
819,36.89867,4,1,0,0,FALSE
806,38.112389,4,1,0,0,FALSE
828,37.670517,4,1,0,0,FALSE
788,38.980263,4,1,0,0,FALSE
848,39.343864,4,1,0,0,FALSE
755,14.337708,1,1,0,1,FALSE
777,14.274584,1,1,0,1,FALSE
816,35.85762,1,1,0,1,FALSE
803,38.246761,1,1,0,1,FALSE
800,14.003346,1,1,0,1,FALSE
765,35.428352,1,1,0,1,FALSE
810,38.108913,1,1,0,1,FALSE
794,13.702747,1,1,0,1,FALSE
801,14.523479,1,1,0,1,FALSE
757,36.008347,1,1,0,1,FALSE
777,12.433949,1,1,0,1,FALSE
798,35.580025,1,1,0,1,FALSE
817,15.984178,1,1,0,1,FALSE
856,42.647045,1,1,0,1,FALSE
778,10.423923,1,1,0,1,FALSE
758,37.849422,1,1,0,1,FALSE
783,35.328651,1,1,0,1,FALSE
801,36.771793,1,1,0,1,FALSE
805,36.827431,1,1,0,1,FALSE
758,15.207701,1,1,0,1,FALSE
828,15.351572,4,1,1,1,TRUE
785,36.573864,4,1,1,1,TRUE
812,36.852638,4,1,1,1,TRUE
781,36.451797,4,1,1,1,FALSE
800,35.067169,4,1,1,1,TRUE
803,13.875746,4,1,1,1,TRUE
809,36.56559,4,1,1,1,TRUE
827,14.080919,4,1,1,1,TRUE
817,14.0695,4,1,1,1,FALSE
760,36.929356,4,1,1,1,TRUE
780,13.76638,4,1,1,1,FALSE
794,37.644508,4,1,1,1,TRUE
775,14.502087,4,1,1,1,TRUE
835,37.397652,4,1,1,1,TRUE
795,35.116394,4,1,1,1,FALSE
825,35.671822,4,1,1,1,TRUE
788,35.443974,4,1,1,1,TRUE
782,39.775398,4,1,1,1,TRUE
839,38.492931,4,1,1,1,FALSE
786,35.88208,4,1,1,1,TRUE
787,39.777508,2,1,0,1,FALSE
821,37.174427,2,1,0,1,FALSE
773,12.265713,2,1,0,1,FALSE
785,37.337673,2,1,0,1,FALSE
798,13.899773,2,1,0,1,FALSE
799,35.887817,2,1,0,1,FALSE
790,37.34293,2,1,0,1,FALSE
769,35.631508,2,1,0,1,FALSE
776,14.088326,2,1,0,1,FALSE
798,39.933243,2,1,0,1,FALSE
791,36.36425,2,1,0,1,FALSE
775,35.257622,2,1,0,1,FALSE
779,14.153519,2,1,0,1,FALSE
791,35.829498,2,1,0,1,FALSE
781,15.65369,2,1,0,1,FALSE
780,35.336636,2,1,0,1,FALSE
795,35.624413,2,1,0,1,FALSE
810,37.512394,2,1,0,1,FALSE
