@relation 'base7-191018-weka-weka.filters.unsupervised.attribute.Remove-R1-6,8,14-17,19-20-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R4'

@attribute nedge numeric
@attribute fval numeric
@attribute walklen numeric
@attribute balswap numeric
@attribute improve1 numeric
@attribute drBool {FALSE,TRUE}

@data
3118,30.596535,1,1,1,FALSE
3161,72.143005,1,1,1,FALSE
3156,69.527908,1,1,1,FALSE
3113,31.428989,1,0,0,FALSE
3139,31.595535,1,0,0,FALSE
3141,31.635063,1,0,0,FALSE
3028,29.319595,1,0,0,FALSE
3059,29.27874,1,0,0,FALSE
3115,31.089264,1,0,0,FALSE
3105,28.695976,1,0,0,FALSE
3173,31.787651,1,0,0,FALSE
3188,31.400757,1,0,0,FALSE
3046,30.23539,1,0,0,FALSE
3127,30.166195,1,0,0,FALSE
3169,32.198227,1,0,0,FALSE
2959,29.10854,1,0,0,FALSE
3170,31.31002,1,0,0,FALSE
3097,30.414303,1,0,0,FALSE
3124,30.932335,1,0,0,FALSE
3221,68.175751,1,0,0,FALSE
3166,30.960888,1,0,0,TRUE
3106,68.452507,1,0,0,FALSE
3129,30.636513,1,0,0,FALSE
3151,32.031109,1,0,1,FALSE
3017,66.806068,1,0,1,FALSE
3046,71.024948,1,0,1,FALSE
3135,29.996449,1,0,1,FALSE
3144,69.576187,1,0,1,FALSE
3164,31.526169,1,0,1,FALSE
3163,30.341721,1,0,1,FALSE
3142,31.696648,1,0,1,FALSE
3131,68.47123,1,0,1,FALSE
3139,66.720596,1,0,1,FALSE
3148,31.042641,1,0,1,FALSE
3100,30.454025,1,0,1,FALSE
3115,30.329559,1,0,1,FALSE
3226,33.34317,1,0,1,FALSE
3099,66.89595,1,0,1,FALSE
3106,31.454494,1,0,1,FALSE
3137,30.660374,1,0,1,FALSE
3214,32.629772,1,0,1,FALSE
3150,31.385422,1,0,1,FALSE
3148,31.410725,1,0,1,FALSE
3126,30.456917,1,1,0,FALSE
3075,29.151131,1,1,0,FALSE
3117,30.479404,1,1,0,FALSE
3130,31.203392,1,1,0,FALSE
3152,31.2537,1,1,0,FALSE
3122,69.303925,1,1,0,FALSE
3111,31.22271,1,1,0,FALSE
3060,28.324444,1,1,0,FALSE
3134,67.646774,1,1,0,FALSE
3081,66.754272,1,1,0,FALSE
3104,30.752056,1,1,0,FALSE
3046,30.322865,1,1,0,FALSE
3048,29.580738,1,1,0,FALSE
3092,30.678448,1,1,0,FALSE
3190,31.995066,1,1,0,FALSE
3125,70.268738,1,1,0,FALSE
3110,68.365524,1,1,0,FALSE
3108,66.882454,1,1,0,FALSE
3128,31.5989,1,1,0,FALSE
3086,67.513435,1,1,0,FALSE
3093,29.43866,2,1,1,TRUE
3091,67.465919,2,1,1,FALSE
3077,67.374001,2,1,1,TRUE
3134,30.786835,2,1,1,TRUE
3160,69.44249,2,1,1,TRUE
3185,32.869728,2,1,1,FALSE
3104,30.676666,2,1,1,TRUE
3079,30.752815,2,1,1,FALSE
3102,30.629112,2,1,1,TRUE
3219,32.147446,2,1,1,TRUE
3073,30.553333,2,1,1,FALSE
3090,30.679089,2,1,1,TRUE
3097,31.067699,2,1,1,TRUE
3082,30.34679,2,1,1,TRUE
3117,68.638641,2,1,1,FALSE
3140,31.22163,2,1,1,TRUE
3163,67.265015,2,1,1,TRUE
3117,30.685253,2,1,1,FALSE
3125,28.854477,2,1,1,TRUE
3114,29.863983,2,1,1,FALSE
3129,30.967747,2,0,1,FALSE
3198,32.147297,2,0,1,FALSE
3144,29.113865,2,0,1,FALSE
3080,30.212803,2,0,1,FALSE
3105,65.787766,2,0,1,FALSE
3090,30.504822,2,0,1,FALSE
3126,31.150457,2,0,1,FALSE
3120,31.59552,2,0,1,FALSE
3151,28.838387,2,0,1,FALSE
3094,30.464352,2,0,1,FALSE
3151,29.455244,2,0,1,FALSE
3135,30.770962,2,0,1,FALSE
3088,31.305344,2,0,1,FALSE
3080,66.836525,2,0,1,FALSE
3070,29.935875,2,0,1,FALSE
3124,30.318428,2,0,1,FALSE
3089,30.438644,2,0,1,FALSE
3119,30.771564,2,0,1,FALSE
3168,31.423397,2,0,1,FALSE
3080,30.536064,2,0,1,FALSE
3149,67.653458,2,0,1,FALSE
3226,33.443607,2,0,1,FALSE
3251,33.82925,2,0,1,FALSE
3211,32.161686,2,0,1,FALSE
3159,68.456467,2,0,1,FALSE
3181,69.700439,2,0,1,FALSE
3238,34.771221,2,0,1,FALSE
3202,33.331123,2,0,1,FALSE
3206,33.244175,2,0,1,FALSE
3159,69.260513,2,0,1,FALSE
3113,65.213516,2,0,1,FALSE
3246,32.893314,2,0,1,FALSE
3237,68.681091,2,0,1,FALSE
3210,67.840477,2,0,1,FALSE
3165,33.170059,2,0,1,FALSE
3142,66.38282,2,0,1,FALSE
3234,32.008926,2,0,1,FALSE
3239,68.82785,2,0,1,FALSE
3304,69.902634,2,0,1,FALSE
3217,67.935669,2,0,1,FALSE
3167,65.692566,4,0,0,FALSE
3172,33.048645,4,0,0,FALSE
3208,31.716145,4,0,0,FALSE
3238,33.742756,4,0,0,FALSE
3139,31.208637,4,0,0,FALSE
3229,34.075844,4,0,0,FALSE
3252,31.400127,4,0,0,FALSE
3151,30.849464,4,0,0,FALSE
3173,31.796883,4,0,0,FALSE
3210,34.01635,4,0,0,FALSE
3218,68.813469,4,0,0,FALSE
3188,69.768509,4,0,0,FALSE
3217,72.124237,4,0,0,FALSE
3205,32.625511,4,0,0,FALSE
3225,32.427269,4,0,0,FALSE
3255,34.090656,4,0,0,FALSE
3151,66.405991,4,0,0,FALSE
3161,31.304804,4,0,0,FALSE
3330,35.358803,4,0,0,FALSE
3204,33.157074,4,0,0,FALSE
3179,31.175838,4,0,1,FALSE
3181,33.437431,4,0,1,FALSE
3198,32.313057,4,0,1,FALSE
3209,66.618156,4,0,1,FALSE
3204,32.795879,4,0,1,FALSE
3202,68.052948,4,0,1,FALSE
3210,33.462494,4,0,1,FALSE
3272,68.831207,4,0,1,FALSE
3226,32.175419,4,0,1,FALSE
3207,33.75346,4,0,1,FALSE
3215,33.598282,4,0,1,FALSE
3141,67.817719,4,0,1,FALSE
3247,69.189636,4,0,1,FALSE
3224,71.271896,4,0,1,FALSE
3092,31.273783,4,0,1,FALSE
3246,32.214882,4,0,1,FALSE
3178,33.109894,4,0,1,FALSE
3247,67.364502,4,0,1,FALSE
3176,31.400867,4,0,1,FALSE
3190,71.216248,4,0,1,FALSE
3165,31.952766,4,1,1,TRUE
3218,32.664291,4,1,1,TRUE
3250,67.960083,4,1,1,FALSE
3295,33.233097,4,1,1,FALSE
3174,66.922684,4,1,1,TRUE
3220,67.894684,4,1,1,TRUE
3211,68.652924,4,1,1,TRUE
3217,33.943905,4,1,1,TRUE
3221,69.876541,4,1,1,TRUE
3181,32.794392,4,1,1,TRUE
3193,33.482307,4,1,1,TRUE
3182,68.633148,4,1,1,TRUE
3165,31.737137,4,1,1,TRUE
3238,32.464771,4,1,1,TRUE
3165,27.916939,4,1,1,TRUE
3210,33.178947,4,1,1,FALSE
3250,66.673264,4,1,1,FALSE
3192,31.409454,4,1,1,FALSE
3175,68.453705,4,1,1,TRUE
3155,67.737846,4,1,1,FALSE
3103,65.79512,2,1,0,FALSE
3180,31.776436,2,1,0,FALSE
3163,67.311417,2,1,0,FALSE
3230,33.939262,2,1,0,FALSE
3201,68.013977,2,1,0,FALSE
3193,66.867004,2,1,0,FALSE
3184,31.747189,2,1,0,FALSE
3215,70.399963,2,1,0,FALSE
3216,33.43343,2,1,0,FALSE
3162,31.674976,2,1,0,FALSE
3215,67.565163,2,1,0,FALSE
3152,68.614265,2,1,0,FALSE
3154,33.539574,2,1,0,FALSE
